client_name,group_name,nodeA_ip,nodeB_ip,used_slots,ip_type,ip_address_A,ip_address_B,length,bandwidth
1-2-client,1-2-group,10.240.70.6,10.240.70.7,0,4,1.2.0.1,1.2.0.2,24,5
1-5-client,1-5-group,10.240.70.6,10.240.70.11,0,4,1.5.0.1,1.5.0.2,24,5
2-6-client,2-6-group,10.240.70.7,10.240.70.12,0,4,2.6.0.1,2.6.0.2,24,5
5-6-client,5-6-group,10.240.70.11,10.240.70.12,0,4,5.6.0.1,5.6.0.2,24,5
3-4-client,3-4-group,10.240.70.8,10.240.70.15,0,4,3.4.0.1,3.4.0.2,24,5
3-5-client,3-5-group,10.240.70.8,10.240.70.11,0,4,3.5.0.1,3.5.0.2,24,5
4-6-client,4-6-group,10.240.70.15,10.240.70.12,0,4,4.6.0.1,4.6.0.2,24,5
5-7-client,5-7-group,10.240.70.11,10.240.70.13,0,4,5.7.0.1,5.7.0.2,24,5
6-8-client,6-8-group,10.240.70.12,10.240.70.14,0,4,6.8.0.1,6.8.0.2,24,5
7-8-client,7-8-group,10.240.70.13,10.240.70.14,0,4,7.8.0.1,7.8.0.2,24,5
7-9-client,7-9-group,10.240.70.13,10.240.70.17,0,4,7.9.0.1,7.9.0.2,24,5
8-10-client,8-10-group,10.240.70.14,10.240.70.18,0,4,8.10.0.1,8.10.0.2,24,5
9-10-client,9-10-group,10.240.70.17,10.240.70.18,0,4,9.10.0.1,9.10.0.2,24,5
9-11-client,9-11-group,10.240.70.17,10.240.70.21,0,4,9.11.0.1,9.11.0.2,24,5
10-12-client,10-12-group,10.240.70.18,10.240.70.22,0,4,10.12.0.1,10.12.0.2,24,5
11-12-client,11-12-group,10.240.70.21,10.240.70.22,0,4,11.12.0.1,11.12.0.2,24,5
11-13-client,11-13-group,10.240.70.21,10.240.70.27,0,4,11.13.0.1,11.13.0.2,24,5
12-13-client,12-13-group,10.240.70.22,10.240.70.27,0,4,12.13.0.1,12.13.0.2,24,5
