userLabel,source_node,dest_node,source_port,dest_port,group_name,calendar_type,group_id,nodea_member,nodeb_member
1-2-link,10.5.120.101,10.5.120.102,\\s=10\\c=1\\j=1\\p=1,\\s=10\\c=1\\j=1\\p=1,1-2-group,A,1,eth9.2,eth9.1
1-5-link,10.5.120.101,10.5.120.105,\\s=10\\c=1\\j=2\\p=1,\\s=9\\c=1\\j=1\\p=1,1-5-group,A,1,eth9.1,eth9.1
2-6-link,10.5.120.102,10.5.120.106,\\s=10\\c=1\\j=2\\p=1,\\s=9\\c=1\\j=1\\p=1,2-6-group,A,1,eth9.2,eth9.2
5-6-link,10.5.120.105,10.5.120.106,\\s=10\\c=1\\j=2\\p=1,\\s=10\\c=1\\j=2\\p=1,5-6-group,A,1,eth10.1,eth10.1
3-5-link,10.5.120.103,10.5.120.105,\\s=10\\c=1\\j=2\\p=1,\\s=9\\c=1\\j=2\\p=1,3-5-group,A,1,eth9.1,eth9.2
3-4-link,10.5.120.103,10.5.120.104,\\s=10\\c=1\\j=2\\p=1,\\s=10\\c=1\\j=1\\p=1,11-13-group,A,1,eth10.2,eth10.1
4-6-link,10.5.120.104,10.5.120.106,\\s=10\\c=1\\j=2\\p=1,\\s=9\\c=1\\j=2\\p=1,4-6-group,A,1,eth9.2,eth9.1
5-7-link,10.5.120.105,10.5.120.107,\\s=10\\c=1\\j=1\\p=1,\\s=9\\c=1\\j=1\\p=1,5-7-group,A,1,eth10.2,eth10.2
6-8-link,10.5.120.106,10.5.120.108,\\s=10\\c=1\\j=1\\p=1,\\s=9\\c=1\\j=1\\p=1,6-8-group,A,1,eth10.2,eth10.2
7-8-link,10.5.120.107,10.5.120.108,\\s=10\\c=1\\j=2\\p=1,\\s=10\\c=1\\j=2\\p=1,7-8-group,A,1,eth10.1,eth10.1
7-9-link,10.5.120.109,10.5.120.109,\\s=10\\c=1\\j=1\\p=1,\\s=10\\c=1\\j=1\\p=1,7-9-group,A,1,eth9.1,eth9.1
8-10-link,10.5.120.108,10.5.120.110,\\s=10\\c=1\\j=1\\p=1,\\s=10\\c=1\\j=1\\p=1,8-10-group,A,1,eth9.1,eth9.1
9-10-link,10.5.120.109,10.5.120.110,\\s=10\\c=1\\j=2\\p=1,\\s=10\\c=1\\j=2\\p=1,9-10-group,A,1,eth9.2,eth9.2
9-11-link,10.5.120.109,10.5.120.111,\\s=3\\c=1\\j=1\\p=1,\\s=3\\c=1\\j=1\\p=1,9-11-group,A,1,eth10.1,eth10.1
10-11-link,10.5.120.110,10.5.120.111,\\s=3\\c=1\\j=1\\p=1,\\s=4\\c=1\\j=1\\p=1,10-12-group,A,1,eth10.1,eth10.1
