userLabel,source_node,dest_node,source_port,dest_port,group_name,calendar_type,group_id,nodea_member,nodeb_member
1-2-link,10.240.30.196,10.240.30.197,\s=10\c=1\j=1\p=1,\s=10\c=1\j=1\p=1,1-2-group,A,1,eth10.1,eth10.1
1-5-link,10.240.30.196,10.240.70.214,\s=10\c=1\j=2\p=1,\s=9\c=1\j=1\p=1,1-5-group,A,1,eth9.1,eth9.1
3-4-link,10.240.30.198,10.240.30.199,\s=10\c=1\j=1\p=1,\s=10\c=1\j=1\p=1,3-4-group,A,1,eth9.2,eth9.1
2-6-link,10.240.30.197,10.240.70.214,\s=10\c=1\j=2\p=1,\s=9\c=1\j=1\p=1,2-6-group,A,1,eth10.2,eth9.1
3-5-link,10.240.30.198,10.240.70.214,\s=10\c=1\j=2\p=1,\s=9\c=1\j=2\p=1,3-5-group,A,1,eth9.1,eth9.2
4-6-link,10.240.30.199,10.240.70.214,\s=10\c=1\j=2\p=1,\s=9\c=1\j=2\p=1,4-6-group,A,1,eth9.2,eth9.1
5-6-link,10.240.70.214,10.240.70.214,\s=10\c=1\j=2\p=1,\s=10\c=1\j=2\p=1,5-6-group,A,1,eth10.1,eth10.1
5-7-link,10.240.70.214,10.240.30.188,\s=10\c=1\j=1\p=1,\s=9\c=1\j=1\p=1,5-7-group,A,1,eth10.2,eth10.2
6-8-link,10.240.70.214,10.240.30.189,\s=10\c=1\j=1\p=1,\s=9\c=1\j=1\p=1,6-8-group,A,1,eth10.2,eth10.2
7-8-link,10.240.30.188,10.240.30.189,\s=10\c=1\j=2\p=1,\s=10\c=1\j=2\p=1,7-8-group,A,1,eth10.1,eth10.1
7-9-link,10.240.30.188,10.240.30.190,\s=10\c=1\j=1\p=1,\s=10\c=1\j=1\p=1,7-9-group,A,1,eth9.1,eth9.1
8-10-link,10.240.30.189,10.240.30.191,\s=10\c=1\j=1\p=1,\s=10\c=1\j=1\p=1,8-10-group,A,1,eth9.1,eth9.1
9-10-link,10.240.30.190,10.240.30.191,\s=10\c=1\j=2\p=1,\s=10\c=1\j=2\p=1,9-10-group,A,1,eth10.2,eth10.2
