userLabel,source_node,dest_node,source_port,dest_port,group_name,calendar_type,group_id,nodea_member,nodeb_member
1-2-link,10.5.120.1,10.5.120.2,\s=10\c=1\j=1\p=1,\s=10\c=1\j=1\p=1,1-2-group,A,1,eth10.1,eth10.1
1-5-link,10.5.120.1,10.5.120.100,\s=10\c=1\j=2\p=1,\s=11\c=1\j=1\p=1,1-5-group,A,1,eth10.2,eth11.1
2-6-link,10.5.120.2,10.5.120.101,\s=10\c=1\j=2\p=1,\s=11\c=1\j=1\p=1,2-6-group,A,1,eth10.2,eth11.1
3-5-link,10.5.120.3,10.5.120.100,\s=10\c=1\j=2\p=1,\s=11\c=1\j=2\p=1,3-5-group,A,1,eth10.2,eth11.2
3-6-link,10.5.120.3,10.5.120.101,\s=10\c=1\j=1\p=1,\s=11\c=1\j=2\p=1,3-5-group,A,1,eth10.1,eth11.2
5-6-link,10.5.120.100,10.5.120.101,\s=10\c=1\j=2\p=1,\s=10\c=1\j=2\p=1,5-6-group,A,1,eth10.1,eth10.1
5-7-link,10.5.120.100,10.5.120.7,\s=10\c=1\j=1\p=1,\s=9\c=1\j=1\p=1,5-7-group,A,1,eth10.2,eth10.2
6-8-link,10.5.120.101,10.5.120.8,\s=10\c=1\j=1\p=1,\s=9\c=1\j=1\p=1,6-8-group,A,1,eth10.2,eth10.2
7-8-link,10.5.120.7,10.5.120.8,\s=10\c=1\j=2\p=1,\s=10\c=1\j=2\p=1,7-8-group,A,1,eth10.1,eth10.1
7-9-link,10.5.120.7,10.5.120.9,\s=10\c=1\j=1\p=1,\s=10\c=1\j=1\p=1,7-9-group,A,1,eth9.1,eth9.1
8-10-link,10.5.120.8,10.5.120.10,\s=10\c=1\j=1\p=1,\s=10\c=1\j=1\p=1,8-10-group,A,1,eth9.1,eth9.1
9-10-link,10.5.120.9,10.5.120.10,\s=10\c=1\j=2\p=1,\s=10\c=1\j=2\p=1,9-10-group,A,1,eth10.2,eth10.2
