userLabel,hostIp,neType
NE1,111.1.1.1,SPN805
NE2,111.1.1.2,SPN805
NE3,111.1.1.3,SPN805
NE4,111.1.1.4,SPN805
NE5,111.1.1.5,SPN805
NE6,111.1.1.6,SPN805
NE7,111.1.1.7,SPN805
NE8,111.1.1.8,SPN805
NE9,111.1.1.9,SPN805
NE10,111.1.1.10,SPN805
NE11,111.1.1.11,SPN805
NE12,111.1.1.12,SPN805
NE13,111.1.1.13,SPN805
NE14,111.1.1.14,SPN805
NE15,111.1.1.15,SPN805
NE16,111.1.1.16,SPN805
NE17,111.1.1.17,SPN805
NE18,111.1.1.18,SPN805
NE19,111.1.1.19,SPN805
NE20,111.1.1.20,SPN805
NE21,111.1.1.21,SPN805
NE22,111.1.1.22,SPN805
NE23,111.1.1.23,SPN805
NE24,111.1.1.24,SPN805
NE25,111.1.1.25,SPN805
NE26,111.1.1.26,SPN805
NE27,111.1.1.27,SPN805
NE28,111.1.1.28,SPN805
NE29,111.1.1.29,SPN805
NE30,111.1.1.30,SPN805
NE31,111.1.1.31,SPN805
NE32,111.1.1.32,SPN805
NE33,111.1.1.33,SPN805
NE34,111.1.1.34,SPN805
NE35,111.1.1.35,SPN805
NE36,111.1.1.36,SPN805
NE37,111.1.1.37,SPN805
NE38,111.1.1.38,SPN805
NE39,111.1.1.39,SPN805
NE40,111.1.1.40,SPN805
NE41,111.1.1.41,SPN805
NE42,111.1.1.42,SPN805
NE43,111.1.1.43,SPN805
NE44,111.1.1.44,SPN805
NE45,111.1.1.45,SPN805
NE46,111.1.1.46,SPN805
NE47,111.1.1.47,SPN805
NE48,111.1.1.48,SPN805
NE49,111.1.1.49,SPN805
NE50,111.1.1.50,SPN805
NE51,111.1.1.51,SPN805
NE52,111.1.1.52,SPN805
NE53,111.1.1.53,SPN805
NE54,111.1.1.54,SPN805
NE55,111.1.1.55,SPN805
NE56,111.1.1.56,SPN805
NE57,111.1.1.57,SPN805
NE58,111.1.1.58,SPN805
NE59,111.1.1.59,SPN805
NE60,111.1.1.60,SPN805
NE61,111.1.1.61,SPN805
NE62,111.1.1.62,SPN805
NE63,111.1.1.63,SPN805
NE64,111.1.1.64,SPN805
NE65,111.1.1.65,SPN805
NE66,111.1.1.66,SPN805
NE67,111.1.1.67,SPN805
NE68,111.1.1.68,SPN805
NE69,111.1.1.69,SPN805
NE70,111.1.1.70,SPN805
NE71,111.1.1.71,SPN805
NE72,111.1.1.72,SPN805
NE73,111.1.1.73,SPN805
NE74,111.1.1.74,SPN805
NE75,111.1.1.75,SPN805
NE76,111.1.1.76,SPN805
NE77,111.1.1.77,SPN805
NE78,111.1.1.78,SPN805
NE79,111.1.1.79,SPN805
NE80,111.1.1.80,SPN805
NE81,111.1.1.81,SPN805
NE82,111.1.1.82,SPN805
NE83,111.1.1.83,SPN805
NE84,111.1.1.84,SPN805
NE85,111.1.1.85,SPN805
NE86,111.1.1.86,SPN805
NE87,111.1.1.87,SPN805
NE88,111.1.1.88,SPN805
NE89,111.1.1.89,SPN805
NE90,111.1.1.90,SPN805
NE91,111.1.1.91,SPN805
NE92,111.1.1.92,SPN805
NE93,111.1.1.93,SPN805
NE94,111.1.1.94,SPN805
NE95,111.1.1.95,SPN805
NE96,111.1.1.96,SPN805
NE97,111.1.1.97,SPN805
NE98,111.1.1.98,SPN805
NE99,111.1.1.99,SPN805
NE100,111.1.1.100,SPN805
NE101,111.1.1.101,SPN805
NE102,111.1.1.102,SPN805
NE103,111.1.1.103,SPN805
NE104,111.1.1.104,SPN805
NE105,111.1.1.105,SPN805
NE106,111.1.1.106,SPN805
NE107,111.1.1.107,SPN805
NE108,111.1.1.108,SPN805
NE109,111.1.1.109,SPN805
NE110,111.1.1.110,SPN805
NE111,111.1.1.111,SPN805
NE112,111.1.1.112,SPN805
NE113,111.1.1.113,SPN805
NE114,111.1.1.114,SPN805
NE115,111.1.1.115,SPN805
NE116,111.1.1.116,SPN805
NE117,111.1.1.117,SPN805
NE118,111.1.1.118,SPN805
NE119,111.1.1.119,SPN805
NE120,111.1.1.120,SPN805
NE121,111.1.1.121,SPN805
NE122,111.1.1.122,SPN805
NE123,111.1.1.123,SPN805
NE124,111.1.1.124,SPN805
NE125,111.1.1.125,SPN805
NE126,111.1.1.126,SPN805
NE127,111.1.1.127,SPN805
NE128,111.1.1.128,SPN805
NE129,111.1.1.129,SPN805
NE130,111.1.1.130,SPN805
NE131,111.1.1.131,SPN805
NE132,111.1.1.132,SPN805
NE133,111.1.1.133,SPN805
NE134,111.1.1.134,SPN805
NE135,111.1.1.135,SPN805
NE136,111.1.1.136,SPN805
NE137,111.1.1.137,SPN805
NE138,111.1.1.138,SPN805
NE139,111.1.1.139,SPN805
NE140,111.1.1.140,SPN805
NE141,111.1.1.141,SPN805
NE142,111.1.1.142,SPN805
NE143,111.1.1.143,SPN805
NE144,111.1.1.144,SPN805
NE145,111.1.1.145,SPN805
NE146,111.1.1.146,SPN805
NE147,111.1.1.147,SPN805
NE148,111.1.1.148,SPN805
NE149,111.1.1.149,SPN805
NE150,111.1.1.150,SPN805
NE151,111.1.1.151,SPN805
NE152,111.1.1.152,SPN805
NE153,111.1.1.153,SPN805
NE154,111.1.1.154,SPN805
NE155,111.1.1.155,SPN805
NE156,111.1.1.156,SPN805
NE157,111.1.1.157,SPN805
NE158,111.1.1.158,SPN805
NE159,111.1.1.159,SPN805
NE160,111.1.1.160,SPN805
NE161,111.1.1.161,SPN805
NE162,111.1.1.162,SPN805
NE163,111.1.1.163,SPN805
NE164,111.1.1.164,SPN805
NE165,111.1.1.165,SPN805
NE166,111.1.1.166,SPN805
NE167,111.1.1.167,SPN805
NE168,111.1.1.168,SPN805
NE169,111.1.1.169,SPN805
NE170,111.1.1.170,SPN805
NE171,111.1.1.171,SPN805
NE172,111.1.1.172,SPN805
NE173,111.1.1.173,SPN805
NE174,111.1.1.174,SPN805
NE175,111.1.1.175,SPN805
NE176,111.1.1.176,SPN805
NE177,111.1.1.177,SPN805
NE178,111.1.1.178,SPN805
NE179,111.1.1.179,SPN805
NE180,111.1.1.180,SPN805
NE181,111.1.1.181,SPN805
NE182,111.1.1.182,SPN805
NE183,111.1.1.183,SPN805
NE184,111.1.1.184,SPN805
NE185,111.1.1.185,SPN805
NE186,111.1.1.186,SPN805
NE187,111.1.1.187,SPN805
NE188,111.1.1.188,SPN805
NE189,111.1.1.189,SPN805
NE190,111.1.1.190,SPN805
NE191,111.1.1.191,SPN805
NE192,111.1.1.192,SPN805
NE193,111.1.1.193,SPN805
NE194,111.1.1.194,SPN805
NE195,111.1.1.195,SPN805
NE196,111.1.1.196,SPN805
NE197,111.1.1.197,SPN805
NE198,111.1.1.198,SPN805
NE199,111.1.1.199,SPN805
NE200,111.1.1.200,SPN805
NE201,111.1.1.201,SPN805
NE202,111.1.1.202,SPN805
NE203,111.1.1.203,SPN805
NE204,111.1.1.204,SPN805
NE205,111.1.1.205,SPN805
NE206,111.1.1.206,SPN805
NE207,111.1.1.207,SPN805
